Sales Rep. Y3$Ch.$Mchd.$aktivní návštěva a/n$Customer No.$$City (M)$StrHousNo. (M)$kontaktní osoba jméno$kontaktní osoba tel.$kontaktní osoba e-mail$letáky a/n$GPS
53591066$TT$KAM TT CZ1 LU$$53508037$STAVMAT STAVEBNINY a$MLADÁ BOLESLAV$PRŮMYSLOVÁ 957$$$$$50.4310092, 14.9278634
53591071$TT$KAM TT CZ3 HO$$53508038$STAVMAT STAVEBNINY a$NOVÝ JIČÍN$SUVOROVOVA UL.$$$$$49.6052486, 18.0233042
53591071$TT$KAM TT CZ3 HO$$53508039$STAVMAT STAVEBNINY a$OPAVA$PALHANECKÁ 18$$$$$49.9554341, 17.8765762
53590205$TT$KAM TT CZ2 SL$$53508042$STAVMAT STAVEBNINY a$PELHŘIMOV$K SILU 1144$$$$$49.4097263, 15.2201201
53591066$TT$KAM TT CZ1 LU$$53508044$STAVMAT STAVEBNINY a$PRAHA - VESTEC$PRŮMYSLOVÁ 535$$$$$49.9839486, 14.4946496
53591066$TT$KAM TT CZ1 LU$$53508046$STAVMAT STAVEBNINY a$PRACHATICE$KRUMLOVSKÁ$$$$$49.0043770, 14.0073708
53591066$TT$KAM TT CZ1 LU$$53508047$STAVMAT STAVEBNINY a$PŘÍBRAM$HUSOVA 596$$$$$49.6897724, 13.9948909
53591071$TT$KAM TT CZ3 HO$$53508049$STAVMAT STAVEBNINY a$RYCHNOV NAD KNĚŽNOU$EKOLOGICKÁ 1187$$$$$50.1544023, 16.2764580
53590550$TT$KAM TT CZ2 SL$$53508050$STAVMAT STAVEBNINY a$ŘÍČANY$BRNĚNSKÁ 311$$$$$49.2127535, 16.4048867
53591071$TT$KAM TT CZ3 HO$$53508052$STAVMAT STAVEBNINY a$SVITAVY$VÍTĚZNÁ 40$$$$$49.7625158, 16.4683649
53590205$TT$KAM TT CZ2 SL$$53508053$STAVMAT STAVEBNINY a$TÁBOR$VOŽICKÁ 25$$$$$49.4139978, 14.6889677
53591093$TT$KAM TT CZ2 SL$$53508054$STAVMAT STAVEBNINY a$TRUTNOV$JEČNÁ 479$$$$$50.5735982, 15.9406702
53591066$TT$KAM TT CZ1 LU$$53508055$STAVMAT STAVEBNINY a$TURNOV$PŘEPEŘSKÁ 1692$$$$$50.5864128, 15.1316085
53590205$TT$KAM TT CZ2 SL$$53508057$STAVMAT STAVEBNINY a$ÚVALY$ŠKVORECKÁ 1463$$$$$50.0700786, 14.7310912
53591071$TT$KAM TT CZ3 HO$$53508058$STAVMAT STAVEBNINY a$VELKÁ BYSTŘICE$ČSA 780$$$$$49.5928209, 17.3497279
53591071$TT$KAM TT CZ3 HO$$53508060$STAVMAT STAVEBNINY a$ZLÍN - MALENOVICE$TŘ. 3. KVĚTNA 1149$$$$$49.2067507, 17.5785256
53591071$TT$KAM TT CZ3 HO$$53508062$STAVMAT STAVEBNINY a$ŽAMBERK$DLUHOŇOVICE 96$$$$$50.0701957, 16.4415450
53590550$TT$KAM TT CZ3 HO$$53508068$DŘEVO TRUST, a.s.$BOHUMÍN - SKŘEČOŇ$1. MÁJE 122$$$$$49.9056305, 18.3711173
53590550$TT$KAM TT CZ3 HO$$53508069$DŘEVO TRUST, a.s.$ČESKÝ TĚŠÍN$JABLUNKOVSKÁ 30$$$$$49.7399603, 18.6206373
53590550$TT$KAM TT CZ3 HO$$53508070$DŘEVO TRUST, a.s.$FRÝDEK - MÍSTEK$JAMNICKÁ 348$$$$$49.6751222, 18.3591958
53590550$TT$KAM TT CZ3 HO$$53508071$DŘEVO TRUST, a.s.$KARVINÁ$RUDÉ ARMÁDY$$$$$49.8668403, 18.5496117
53590550$TT$KAM TT CZ3 HO$$53508073$DŘEVO TRUST, a.s.$OSTRAVA - HRABŮVKA$U HALDY 1562$$$$$49.7897320, 18.2703830
53590550$TT$KAM TT CZ3 HO$$53508075$DŘEVO TRUST, a.s.$LIPNÍK NAD BEČVOU$NA HORECKU 726$$$$$49.5275927, 17.5717115
